# column style format: id;time;x;y;z;vx;vy;vz;mass;totalEnergy;totalSpecificAngularMomentum;rungeLenzVector;semiMajorAxis
# this file will be overwritten without any precaution
# used integrator was euler
0;0.5;0.5;0.25;0;-0.25;0.5;0;0.5;-0.067356797749978942;0.625;0.82530718925782893;0.30625913142995075
1;0.5;-0.5;-0.25;0;0.25;-0.5;0;0.5;-0.067356797749978942;0.625;0.82530718925782893;0.30625913142995075
0;1;0.375;0.5;0;-0.42888543819998315;0.41055728090000843;0;0.5;-0.02375000000000001;0.73680339887498947;0.78328655989192971;0.35118525021949078
1;1;-0.375;-0.5;0;0.42888543819998315;-0.41055728090000843;0;0.5;-0.02375000000000001;0.73680339887498947;0.78328655989192971;0.35118525021949078
0;1.5;0.16055728090000843;0.70527864045000421;0;-0.52488543819998312;0.28255728090000842;0;0.5;0.0048582139073534273;0.83111423393098808;0.76411991831296576;0.41499424693231569
1;1.5;-0.16055728090000843;-0.70527864045000421;0;0.52488543819998312;-0.28255728090000842;0;0.5;0.0048582139073534273;0.83111423393098808;0.76411991831296576;0.41499424693231569
0;2;-0.10188543819998314;0.84655728090000837;0;-0.55140172153543299;0.16607942230784642;0;0.5;0.019214153441551515;0.8997441346975695;0.76967884514692031;0.4965348875623815
1;2;0.10188543819998314;-0.84655728090000837;0;0.55140172153543299;-0.16607942230784642;0;0.5;0.019214153441551515;0.8997441346975695;0.76967884514692031;0.4965348875623815
0;2.5;-0.37758629896769963;0.92959699205393154;0;-0.54112972672468751;0.080730307164078058;0;0.5;0.025087399367321359;0.94509981675525136;0.78849860656738432;0.59032819661773068
1;2.5;0.37758629896769963;-0.92959699205393154;0;0.54112972672468751;-0.080730307164078058;0;0.5;0.025087399367321359;0.94509981675525136;0.78849860656738432;0.59032819661773068
0;3;-0.64815116233004333;0.96996214563597061;0;-0.51776654872255723;0.023211429877011067;0;0.5;0.027160360541612158;0.97433887456667182;0.81047326935802487;0.69166767850192895
