# column style format: id;time;x;y;z;vx;vy;vz;mass;totalEnergy;totalSpecificAngularMomentum;rungeLenzVector;semiMajorAxis
# this file will be overwritten without any precaution
# used integrator was heun
0;0;0.499975;0.0050000000000000001;0;-0.0049996250468695332;0.4999750037495313;0;0.5;-0.12499999937502345;0.50000000124981252;0.87499999953134876;0.26666666706666333
1;0;-0.499975;-0.0050000000000000001;0;0.0049996250468695332;-0.4999750037495313;0;0.5;-0.12499999937502345;0.50000000124981252;0.87499999953134876;0.26666666706666333
0;0.01;0.49990000499962506;0.0099995000374962506;0;-0.0099987500937568728;0.49990001249962479;0;0.5;-0.12499999874990632;0.500000002499625;0.87500000000011384;0.26666666933316
1;0.01;-0.49990000499962506;-0.0099995000374962506;0;0.0099987500937568728;-0.49990001249962479;0;0.5;-0.12499999874990632;0.500000002499625;0.87500000000011384;0.26666666933316
0;0.02;0.49977502249918732;0.014998000187505621;0;-0.014996875140746374;0.49977503375321636;0;0.5;-0.12499999812464861;0.50000000374943744;0.87500000140624829;0.26666667346606328
1;0.02;-0.49977502249918732;-0.014998000187505621;0;0.014996875140746374;-0.49977503375321636;0;0.5;-0.12499999812464861;0.50000000374943744;0.87500000140624829;0.26666667346606328
0;0.03;0.49960006499862258;0.01999500062508746;0;-0.01999350028805108;0.49960008001511319;0;0.5;-0.12499999749925047;0.50000000499924972;0.8750000037496114;0.26666667946509303
1;0.03;-0.49960006499862258;-0.01999500062508746;0;0.01999350028805108;-0.49960008001511319;0;0.5;-0.12499999749925047;0.50000000499924972;0.8750000037496114;0.26666667946509303
0;0.04;0.49937514999623861;0.024990001675357278;0;-0.024988125786078865;0.4993751687907399;0;0.5;-0.12499999687371194;0.50000000624906172;0.87500000702996867;0.26666668732978241
1;0.04;-0.49937514999623861;-0.024990001675357278;0;0.024988125786078865;-0.4993751687907399;0;0.5;-0.12499999687371194;0.50000000624906172;0.87500000702996867;0.26666668732978241
0;0.05;0.49910029998696304;0.029982503863485419;0;-0.029980252085483466;0.49910032258438281;0;0.5;-0.12499999624803315;0.50000000749887351;0.87500001124699173;0.26666669705947803
1;0.05;-0.49910029998696304;-0.029982503863485419;0;0.029980252085483466;-0.49910032258438281;0;0.5;-0.12499999624803315;0.50000000749887351;0.87500001124699173;0.26666669705947803
0;0.06;0.49877554246009043;0.034972007964675624;0;-0.034969379887195354;0.49877556889693253;0;0.5;-0.12499999562221412;0.50000000874868499;0.87500001640025853;0.26666670865333983
1;0.06;-0.49877554246009043;-0.034972007964675624;0;0.034969379887195354;-0.49877556889693253;0;0.5;-0.12499999562221412;0.50000000874868499;0.87500001640025853;0.26666670865333983
0;0.07;0.49840090989652958;0.039958015054118542;0;-0.039955010192427441;0.49840094022312548;0;0.5;-0.12499999499625503;0.50000000999849612;0.87500002248925329;0.2666667221103413
1;0.07;-0.49840090989652958;-0.039958015054118542;0;0.039955010192427441;-0.49840094022312548;0;0.5;-0.12499999499625503;0.50000000999849612;0.87500002248925329;0.2666667221103413
0;0.08;0.49797643976555062;0.04494002655691514;0;-0.044936644352650545;0.4979764740482841;0;0.5;-0.124999994370156;0.50000001124830679;0.87500002951336662;0.2666667374292695
1;0.08;-0.49797643976555062;-0.04494002655691514;0;0.044936644352650545;-0.4979764740482841;0;0.5;-0.124999994370156;0.50000001124830679;0.87500002951336662;0.2666667374292695
0;0.09;0.49750217452103279;0.049917544297965008;0;-0.049913784119533622;0.49750221284455665;0;0.5;-0.12499999374391718;0.50000001249811701;0.87500003747189548;0.2666667546087253
1;0.09;-0.49750217452103279;-0.049917544297965008;0;0.049913784119533622;-0.49750221284455665;0;0.5;-0.12499999374391718;0.50000001249811701;0.87500003747189548;0.2666667546087253
0;0.1;0.49697816159721264;0.054890070551814579;0;-0.054885931694843688;0.49697820406665644;0;0.5;-0.12499999311753869;0.5000000137479267;0.87500004636404336;0.26666677364712338
1;0.1;-0.49697816159721264;-0.054890070551814579;0;0.054885931694843688;-0.49697820406665644;0;0.5;-0.12499999311753869;0.5000000137479267;0.87500004636404336;0.26666677364712338
0;0.11;0.49640445340393374;0.059857108092460198;0;-0.059852589780300461;0.4964045001471013;0;0.5;-0.12499999249102079;0.50000001499773578;0.87500005618892027;0.26666679454269246
1;0.11;-0.49640445340393374;-0.059857108092460198;0;0.059852589780300461;-0.4964045001471013;0;0.5;-0.12499999249102079;0.50000001499773578;0.87500005618892027;0.26666679454269246
0;0.12;0.49578110732139796;0.064818160243101136;0;-0.064813261627380672;0.49578115849095361;0;0.5;-0.12499999186436362;0.50000001624754417;0.87500006694554292;0.26666681729347547
1;0.12;-0.49578110732139796;-0.064818160243101136;0;0.064813261627380672;-0.49578115849095361;0;0.5;-0.12499999186436362;0.50000001624754417;0.87500006694554292;0.26666681729347547
0;0.13;0.49510818569441911;0.069772730925837467;0;-0.069767451087067028;0.49510824147006144;0;0.5;-0.12499999123756742;0.50000001749735186;0.8750000786328347;0.26666684189732977
1;0.13;-0.49510818569441911;-0.069772730925837467;0;0.069767451087067028;-0.49510824147006144;0;0.5;-0.12499999123756742;0.50000001749735186;0.8750000786328347;0.26666684189732977
0;0.14;0.49438575582617905;0.07472032471130792;0;-0.074714662659536829;0.4943858164168014;0;0.5;-0.12499999061063234;0.50000001874715877;0.8750000912496259;0.26666686835192731
1;0.14;-0.49438575582617905;-0.07472032471130792;0;0.074714662659536829;-0.4943858164168014;0;0.5;-0.12499999061063234;0.50000001874715877;0.8750000912496259;0.26666686835192731
