# column style format: id;time;x;y;z;vx;vy;vz;mass;totalEnergy;totalSpecificAngularMomentum;rungeLenzVector;semiMajorAxis
# this file will be overwritten without any precaution
# used integrator was rk4
0;0;0.49997500020832941;0.0049999166666666083;0;-0.0049999166674479069;0.49997500020832941;0;0.5;-0.12500000000000347;0.49999999999999303;0.87500000000000164;0.26666666666666249
1;0;-0.49997500020832941;-0.0049999166666666083;0;0.0049999166674479069;-0.49997500020832941;0;0.5;-0.12500000000000347;0.49999999999999303;0.87500000000000164;0.26666666666666249
0;0.01;0.49990000333328299;0.0099993333458330679;0;-0.0099993333473959271;0.49990000333328299;0;0.5;-0.12500000000000695;0.49999999999998613;0.87500000000000129;0.26666666666665445
1;0.01;-0.49990000333328299;-0.0099993333458330679;0;0.0099993333473959271;-0.49990000333328299;0;0.5;-0.12500000000000695;0.49999999999998613;0.87500000000000129;0.26666666666665445
0;0.02;0.49977501687448567;0.014997750099997636;0;-0.01499775010234247;0.49977501687448567;0;0.5;-0.12500000000001041;0.49999999999997916;0.87499999999999902;0.26666666666664249
1;0.02;-0.49977501687448567;-0.014997750099997636;0;0.01499775010234247;-0.49977501687448567;0;0.5;-0.12500000000001041;0.49999999999997916;0.87499999999999902;0.26666666666664249
0;0.03;0.49960005333047919;0.019994667091650233;0;-0.019994667094777617;0.49960005333047919;0;0.5;-0.1250000000000139;0.4999999999999722;0.87499999999999479;0.26666666666662664
1;0.03;-0.49960005333047919;-0.019994667091650233;0;0.019994667094777617;-0.49960005333047919;0;0.5;-0.1250000000000139;0.4999999999999722;0.87499999999999479;0.26666666666662664
0;0.04;0.49937513019747221;0.024989584633255783;0;-0.024989584637166443;0.49937513019747209;0;0.5;-0.12500000000001738;0.49999999999996528;0.8749999999999886;0.26666666666660694
1;0.04;-0.49937513019747221;-0.024989584633255783;0;0.024989584637166443;-0.49937513019747209;0;0.5;-0.12500000000001738;0.49999999999996528;0.8749999999999886;0.26666666666660694
0;0.05;0.49910026996759049;0.029982003237222547;0;-0.029982003241917365;0.49910026996759022;0;0.5;-0.12500000000002084;0.49999999999995831;0.87499999999998048;0.26666666666658333
1;0.05;-0.49910026996759049;-0.029982003237222547;0;0.029982003241917365;-0.49910026996759022;0;0.5;-0.12500000000002084;0.49999999999995831;0.87499999999998048;0.26666666666658333
0;0.06;0.49877550012662802;0.034971423665850467;0;-0.034971423671330479;0.49877550012662747;0;0.5;-0.1250000000000243;0.49999999999995137;0.87499999999997039;0.26666666666655585
1;0.06;-0.49877550012662802;-0.034971423665850467;0;0.034971423671330479;-0.49877550012662747;0;0.5;-0.1250000000000243;0.49999999999995137;0.87499999999997039;0.26666666666655585
0;0.07;0.49840085315129817;0.03995734698125452;0;-0.039957346987520924;0.49840085315129729;0;0.5;-0.12500000000002779;0.4999999999999444;0.87499999999995836;0.26666666666652446
1;0.07;-0.49840085315129817;-0.03995734698125452;0;0.039957346987520924;-0.49840085315129729;0;0.5;-0.12500000000002779;0.4999999999999444;0.87499999999995836;0.26666666666652446
0;0.08;0.49797636650598631;0.044939274595258094;0;-0.044939274602312229;0.49797636650598492;0;0.5;-0.1250000000000313;0.49999999999993746;0.87499999999994437;0.2666666666664892
1;0.08;-0.49797636650598631;-0.044939274595258094;0;0.044939274602312229;-0.49797636650598492;0;0.5;-0.1250000000000313;0.49999999999993746;0.87499999999994437;0.2666666666664892
0;0.09;0.4975020826390032;0.049916708319251379;0;-0.049916708327094744;0.49750208263900109;0;0.5;-0.12500000000003475;0.4999999999999305;0.87499999999992845;0.26666666666645006
1;0.09;-0.4975020826390032;-0.049916708319251379;0;0.049916708327094744;-0.49750208263900109;0;0.5;-0.12500000000003475;0.4999999999999305;0.87499999999992845;0.26666666666645006
0;0.1;0.49697804897834025;0.054889150414009831;0;-0.05488915042264407;0.49697804897833719;0;0.5;-0.12500000000003822;0.49999999999992352;0.87499999999991058;0.26666666666640704
1;0.1;-0.49697804897834025;-0.054889150414009831;0;0.05488915042264407;-0.49697804897833719;0;0.5;-0.12500000000003822;0.49999999999992352;0.87499999999991058;0.26666666666640704
0;0.11;0.49640431792692685;0.059856103639467653;0;-0.059856103648894578;0.49640431792692252;0;0.5;-0.12500000000004174;0.49999999999991655;0.87499999999989077;0.26666666666636016
1;0.11;-0.49640431792692685;-0.059856103639467653;0;0.059856103648894578;-0.49640431792692252;0;0.5;-0.12500000000004174;0.49999999999991655;0.87499999999989077;0.26666666666636016
0;0.12;0.49578094685738999;0.06481707130444142;0;-0.06481707131466298;0.49578094685738405;0;0.5;-0.1250000000000452;0.49999999999990958;0.87499999999986901;0.2666666666663094
1;0.12;-0.49578094685738999;-0.06481707130444142;0;0.06481707131466298;-0.49578094685738405;0;0.5;-0.1250000000000452;0.49999999999990958;0.87499999999986901;0.2666666666663094
0;0.13;0.49510799810631712;0.069771557316298763;0;-0.069771557327317046;0.49510799810630918;0;0.5;-0.12500000000004872;0.49999999999990262;0.87499999999984531;0.26666666666625479
1;0.13;-0.49510799810631712;-0.069771557316298763;0;0.069771557327317046;-0.49510799810630918;0;0.5;-0.12500000000004872;0.49999999999990262;0.87499999999984531;0.26666666666625479
0;0.14;0.49438553896802251;0.074719066230567219;0;-0.074719066242384474;0.49438553896801213;0;0.5;-0.12500000000005217;0.49999999999989567;0.87499999999981966;0.26666666666619631
1;0.14;-0.49438553896802251;-0.074719066230567219;0;0.074719066242384474;-0.49438553896801213;0;0.5;-0.12500000000005217;0.49999999999989567;0.87499999999981966;0.26666666666619631
