# column style format: id;time;x;y;z;vx;vy;vz;mass;totalEnergy;totalSpecificAngularMomentum;rungeLenzVector;semiMajorAxis
# this file will be overwritten without any precaution
# used integrator was velocity_verlet
0;0;0.49937500000000001;0.025000000000000001;0;-0.024984345739803241;0.49937500146484087;0;0.5;-0.12499999987770094;0.5;0.87500009766486576;0.2666668611284187
1;0;-0.49937500000000001;-0.025000000000000001;0;0.024984345739803241;-0.49937500146484087;0;0.5;-0.12499999987770094;0.5;0.87500009766486576;0.2666668611284187
0;0.05;0.4975015654260197;0.049937500146484091;0;-0.049906114087204426;0.49750157712270576;0;0.5;-0.12499999951111508;0.50000000000000002;0.87500039041355955;0.26666744402588254
1;0.05;-0.4975015654260197;-0.049937500146484091;0;0.049906114087204426;-0.49750157712270576;0;0.5;-0.12499999951111508;0.50000000000000002;0.87500039041355955;0.26666744402588254
0;0.1;0.49438438859127959;0.074750157712270573;0;-0.074702886138511018;0.49438443672550819;0;0.5;-0.12499999890117542;0.50000000000000002;0.87500087750900441;0.26666841389691955
1;0.1;-0.49438438859127959;-0.074750157712270573;0;0.074702886138511018;-0.49438443672550819;0;0.5;-0.12499999890117542;0.50000000000000002;0.87500087750900441;0.26666841389691955
0;0.15;0.49003127681216863;0.099375943819034904;0;-0.099312559548449406;0.49003141641065501;0;0.5;-0.12499999804943417;0.50000000000000004;0.87500155772484818;0.26666976830875607
1;0.15;-0.49003127681216863;-0.099375943819034904;0;0.099312559548449406;-0.49003141641065501;0;0.5;-0.12499999804943417;0.50000000000000004;0.87500155772484818;0.26666976830875607
0;0.2;0.48445313263643469;0.12375329935333607;0;-0.12367350576315857;0.48445345856674604;0;0.5;-0.12499999695805871;0.50000000000000007;0.87500242934862173;0.2666715038641578
1;0.2;-0.48445313263643469;-0.12375329935333607;0;0.12367350576315857;-0.48445345856674604;0;0.5;-0.12499999695805871;0.50000000000000007;0.87500242934862173;0.2666715038641578
0;0.25;0.4776639262358528;0.14782128967570951;0;-0.14772472600131553;0.47766458372415638;0;0.5;-0.12499999562982554;0.50000000000000009;0.87500349018614786;0.2666736162100512
1;0.25;-0.4776639262358528;-0.14782128967570951;0;0.14772472600131553;-0.47766458372415638;0;0.5;-0.12499999562982554;0.50000000000000009;0.87500349018614786;0.2666736162100512
0;0.3;0.46968066003630315;0.1715197577257517;0;-0.17140600557207086;0.46968185454876654;0;0.5;-0.12499999406811311;0.50000000000000009;0.87500473756718878;0.26667610004856869
1;0.3;-0.46968066003630315;-0.1715197577257517;0;0.17140600557207086;-0.46968185454876654;0;0.5;-0.12499999406811311;0.50000000000000009;0.87500473756718878;0.26667610004856869
0;0.35;0.46052332567864573;0.19478947513058617;0;-0.19465806612355327;0.46052533203898982;0;0.5;-0.12499999227689251;0.5000000000000001;0.87500616835231632;0.26667894915048859
1;0.35;-0.46052332567864573;-0.19478947513058617;0;0.19465806612355327;-0.46052533203898982;0;0.5;-0.12499999227689251;0.5000000000000001;0.87500616835231632;0.26667894915048859
0;0.4;0.45021485342394785;0.21757229092965069;0;-0.21742271542201252;0.45021802404777245;0;0.5;-0.12499999026071706;0.50000000000000012;0.87500777894098571;0.26668215637103401
1;0.4;-0.45021485342394785;-0.21757229092965069;0;0.21742271542201252;-0.45021802404777245;0;0.5;-0.12499999026071706;0.50000000000000012;0.87500777894098571;0.26668215637103401
0;0.45;0.43878105413644447;0.23981127753536341;0;-0.23964299426917898;0.43878582627234075;0;0.5;-0.1249999880247101;0.5000000000000001;0.87500956528079049;0.26668571366798894
