h,beta,Magnetisierung,Magnetisierung_abs
-1.0,0.0,-0.0002154541015625,0.0064080810546875
-1.0,0.02040816326530612,-0.022003173828125,0.022032470703125
-1.0,0.04081632653061224,-0.0478419189453125,0.0478419189453125
-1.0,0.061224489795918366,-0.0791002197265625,0.0791002197265625
-1.0,0.08163265306122448,-0.1157484130859375,0.1157484130859375
-1.0,0.1020408163265306,-0.1596790771484375,0.1596790771484375
-1.0,0.12244897959183673,-0.21005419921875,0.210372314453125
-1.0,0.14285714285714285,-0.271263427734375,0.271263427734375
-1.0,0.16326530612244897,-0.3392490234375,0.339749267578125
-1.0,0.18367346938775508,-0.418231689453125,0.418231689453125
-1.0,0.2040816326530612,-0.500465576171875,0.500465576171875
-1.0,0.22448979591836732,-0.584572509765625,0.584572509765625
-1.0,0.24489795918367346,-0.662823974609375,0.662823974609375
-1.0,0.26530612244897955,-0.7325799560546875,0.7325799560546875
-1.0,0.2857142857142857,-0.788019775390625,0.788953857421875
-1.0,0.3061224489795918,-0.835566650390625,0.835566650390625
-1.0,0.32653061224489793,-0.870573974609375,0.8717158203125
-1.0,0.3469387755102041,-0.8986929931640625,0.9000816650390625
-1.0,0.36734693877551017,-0.9200841064453125,0.9216693115234375
-1.0,0.3877551020408163,-0.938696044921875,0.938696044921875
-1.0,0.4081632653061224,-0.9515567626953125,0.9515567626953125
-1.0,0.42857142857142855,-0.9633525390625,0.9633525390625
-1.0,0.44897959183673464,-0.9711280517578125,0.9711280517578125
-1.0,0.4693877551020408,-0.97167333984375,0.974388916015625
-1.0,0.4897959183673469,-0.9798096923828125,0.9798096923828125
-1.0,0.5102040816326531,-0.9793421630859375,0.9825968017578125
-1.0,0.5306122448979591,-0.9836507568359375,0.9845982666015625
-1.0,0.5510204081632653,-0.987818603515625,0.987818603515625
-1.0,0.5714285714285714,-0.9887899169921875,0.9887899169921875
-1.0,0.5918367346938775,-0.9852655029296875,0.9903272705078126
-1.0,0.6122448979591836,-0.9901162109375,0.990195556640625
-1.0,0.6326530612244897,-0.991949951171875,0.991949951171875
-1.0,0.6530612244897959,-0.9926822509765625,0.9926822509765625
-1.0,0.673469387755102,-0.9935584716796875,0.9935584716796875
-1.0,0.6938775510204082,-0.997916748046875,0.997916748046875
-1.0,0.7142857142857142,-0.99118603515625,0.99122216796875
-1.0,0.7346938775510203,-0.983088134765625,0.99351220703125
-1.0,0.7551020408163265,-0.981025146484375,0.99316796875
-1.0,0.7755102040816326,-0.980798583984375,0.99322119140625
-1.0,0.7959183673469387,-0.9992674560546875,0.9992674560546875
-1.0,0.8163265306122448,-0.9785048828125,0.99314697265625
-1.0,0.836734693877551,-0.9909149169921875,0.9909149169921875
-1.0,0.8571428571428571,-0.984767333984375,0.987114990234375
-1.0,0.8775510204081632,-0.9996806640625,0.9996806640625
-1.0,0.8979591836734693,-0.9942227783203125,0.9942227783203125
-1.0,0.9183673469387754,-0.999795654296875,0.999795654296875
-1.0,0.9387755102040816,-0.979544921875,0.98201611328125
-1.0,0.9591836734693877,-0.999860595703125,0.999860595703125
-1.0,0.9795918367346939,-0.9998868408203125,0.9998868408203125
-1.0,1.0,-0.9999085693359375,0.9999085693359375
-0.9591836734693877,0.0,0.000316650390625,0.006096923828125
-0.9591836734693877,0.02040816326530612,-0.0213587646484375,0.0213826904296875
-0.9591836734693877,0.04081632653061224,-0.0462696533203125,0.0462696533203125
-0.9591836734693877,0.061224489795918366,-0.076633056640625,0.076633056640625
-0.9591836734693877,0.08163265306122448,-0.1110501708984375,0.1110501708984375
-0.9591836734693877,0.1020408163265306,-0.15286181640625,0.153142822265625
-0.9591836734693877,0.12244897959183673,-0.203561279296875,0.203561279296875
-0.9591836734693877,0.14285714285714285,-0.26073291015625,0.26073291015625
-0.9591836734693877,0.16326530612244897,-0.328170166015625,0.328170166015625
-0.9591836734693877,0.18367346938775508,-0.40289208984375,0.403412841796875
-0.9591836734693877,0.2040816326530612,-0.4854732666015625,0.4854732666015625
-0.9591836734693877,0.22448979591836732,-0.56916357421875,0.56916357421875
-0.9591836734693877,0.24489795918367346,-0.648651611328125,0.648651611328125
-0.9591836734693877,0.26530612244897955,-0.7204110107421875,0.7204110107421875
-0.9591836734693877,0.2857142857142857,-0.7798143310546874,0.7798143310546874
-0.9591836734693877,0.3061224489795918,-0.8281427001953126,0.8281427001953126
-0.9591836734693877,0.32653061224489793,-0.867301513671875,0.867301513671875
-0.9591836734693877,0.3469387755102041,-0.8979471435546875,0.8979471435546875
-0.9591836734693877,0.36734693877551017,-0.916188232421875,0.9179248046875
-0.9591836734693877,0.3877551020408163,-0.9349788818359375,0.9352152099609375
-0.9591836734693877,0.4081632653061224,-0.9464989013671875,0.9486812744140625
-0.9591836734693877,0.42857142857142855,-0.9616419677734375,0.9616419677734375
-0.9591836734693877,0.44897959183673464,-0.969811279296875,0.969811279296875
-0.9591836734693877,0.4693877551020408,-0.974075439453125,0.974075439453125
-0.9591836734693877,0.4897959183673469,-0.9745433349609375,0.9778438720703125
-0.9591836734693877,0.5102040816326531,-0.9817493896484375,0.9817493896484375
-0.9591836734693877,0.5306122448979591,-0.9836099853515625,0.9837847900390625
-0.9591836734693877,0.5510204081632653,-0.982096435546875,0.986713134765625
