# Steps: 4000000000
# Save frequency: 1000000
# M: 64
# L: 8
# beta: 1
# mu: 0.84
step,total_rods,horizontal_rods,vertical_rods
312000000,369,0,369
313000000,368,4,364
314000000,367,0,367
315000000,372,9,363
316000000,380,4,376
317000000,367,1,366
318000000,370,0,370
319000000,374,1,373
320000000,360,0,360
321000000,361,0,361
322000000,359,1,358
323000000,367,1,366
324000000,367,1,366
325000000,379,0,379
326000000,366,3,363
327000000,363,0,363
328000000,368,2,366
329000000,374,0,374
330000000,367,0,367
331000000,375,0,375
332000000,369,4,365
333000000,375,0,375
334000000,363,6,357
335000000,365,7,358
336000000,364,13,351
337000000,370,13,357
338000000,366,32,334
339000000,364,41,323
340000000,361,34,327
341000000,365,32,333
342000000,370,19,351
343000000,368,12,356
344000000,360,10,350
345000000,368,13,355
346000000,366,7,359
347000000,370,15,355
348000000,370,19,351
349000000,369,14,355
350000000,367,43,324
351000000,363,19,344
352000000,369,11,358
353000000,365,1,364
354000000,366,12,354
355000000,367,1,366
356000000,382,6,376
357000000,369,0,369
358000000,370,5,365
359000000,364,5,359
360000000,374,0,374
361000000,385,0,385
362000000,369,7,362
363000000,364,8,356
364000000,367,6,361
365000000,374,6,368
366000000,374,0,374
367000000,364,5,359
368000000,369,1,368
369000000,373,1,372
370000000,370,0,370
371000000,377,2,375
372000000,367,0,367
373000000,368,3,365
374000000,371,2,369
375000000,372,1,371
376000000,375,6,369
377000000,363,6,357
378000000,361,8,353
379000000,374,11,363
380000000,375,14,361
381000000,352,6,346
382000000,363,12,351
383000000,371,9,362
384000000,364,5,359
385000000,372,2,370
386000000,369,0,369
387000000,366,2,364
388000000,361,15,346
389000000,364,9,355
390000000,366,0,366
391000000,371,0,371
392000000,365,2,363
393000000,368,14,354
394000000,373,7,366
395000000,359,4,355
396000000,372,3,369
397000000,365,2,363
398000000,374,0,374
399000000,370,6,364
400000000,368,0,368
401000000,371,4,367
402000000,358,7,351
403000000,363,29,334
404000000,364,31,333
405000000,357,40,317
406000000,367,44,323
407000000,368,26,342
408000000,373,9,364
409000000,373,8,365
410000000,370,0,370
411000000,370,5,365
412000000,376,0,376
413000000,367,0,367
414000000,378,2,376
415000000,360,16,344
416000000,365,15,350
417000000,369,18,351
418000000,362,15,347
419000000,367,10,357
420000000,366,20,346
421000000,362,24,338
422000000,361,20,341
423000000,361,21,340
424000000,366,28,338
425000000,372,37,335
426000000,370,27,343
427000000,374,19,355
428000000,358,17,341
429000000,359,16,343
430000000,380,10,370
431000000,369,14,355
432000000,357,12,345
433000000,366,0,366
434000000,384,0,384
435000000,378,0,378
436000000,369,0,369
437000000,364,4,360
438000000,376,1,375
439000000,361,2,359
440000000,366,9,357
441000000,363,2,361
442000000,365,0,365
443000000,372,0,372
444000000,365,0,365
445000000,373,0,373
446000000,359,8,351
447000000,367,18,349
448000000,376,9,367
449000000,375,0,375
450000000,373,0,373
451000000,363,2,361
452000000,375,5,370
453000000,374,3,371
454000000,373,16,357
455000000,369,21,348
456000000,367,24,343
457000000,368,35,333
458000000,367,31,336
459000000,370,12,358
460000000,377,2,375
461000000,363,10,353
462000000,374,11,363
463000000,368,4,364
464000000,368,5,363
465000000,369,17,352
466000000,372,2,370
467000000,365,0,365
468000000,378,3,375
469000000,364,0,364
470000000,360,9,351
471000000,378,4,374
472000000,372,2,370
473000000,365,0,365
474000000,377,0,377
475000000,364,2,362
476000000,377,0,377
477000000,353,6,347
478000000,359,4,355
479000000,369,9,360
480000000,372,1,371
481000000,361,0,361
482000000,360,0,360
483000000,373,0,373
484000000,368,1,367
485000000,372,0,372
486000000,370,7,363
487000000,367,24,343
488000000,366,24,342
489000000,359,12,347
490000000,366,27,339
491000000,362,14,348
492000000,374,13,361
493000000,353,2,351
494000000,373,0,373
495000000,361,5,356
496000000,374,5,369
497000000,370,6,364
498000000,374,11,363
499000000,366,0,366
500000000,374,1,373
501000000,366,0,366
502000000,369,2,367
503000000,362,0,362
504000000,368,1,367
505000000,373,0,373
506000000,369,0,369
507000000,371,0,371
508000000,349,0,349
509000000,368,2,366
510000000,358,6,352
511000000,367,0,367
512000000,374,0,374
513000000,369,0,369
514000000,366,5,361
515000000,371,3,368
516000000,363,3,360
517000000,356,0,356
518000000,346,7,339
519000000,372,4,368
520000000,368,15,353
521000000,364,7,357
522000000,365,7,358
523000000,379,7,372
524000000,372,0,372
525000000,369,2,367
526000000,364,0,364
527000000,367,0,367
528000000,365,0,365
529000000,362,1,361
530000000,371,9,362
531000000,370,0,370
532000000,375,3,372
533000000,378,0,378
534000000,362,18,344
535000000,371,24,347
536000000,355,13,342
537000000,374,0,374
538000000,361,2,359
539000000,365,0,365
540000000,366,4,362
541000000,365,3,362
542000000,358,7,351
543000000,371,10,361
544000000,364,8,356
545000000,378,18,360
546000000,364,11,353
547000000,374,22,352
548000000,362,25,337
549000000,357,31,326
550000000,365,26,339
551000000,359,10,349
552000000,369,0,369
553000000,367,0,367
554000000,377,0,377
555000000,363,2,361
556000000,357,3,354
557000000,370,11,359
558000000,367,9,358
559000000,373,5,368
560000000,369,0,369
561000000,380,0,380
562000000,378,0,378
563000000,373,0,373
564000000,370,4,366
565000000,368,4,364
566000000,366,2,364
567000000,369,0,369
568000000,354,7,347
569000000,364,12,352
570000000,367,16,351
571000000,374,19,355
572000000,367,18,349
573000000,362,15,347
574000000,368,18,350
575000000,372,9,363
576000000,370,0,370
577000000,372,3,369
578000000,359,0,359
579000000,363,3,360
580000000,371,4,367
581000000,367,0,367
582000000,378,5,373
583000000,364,8,356
584000000,365,13,352
585000000,353,13,340
586000000,363,14,349
587000000,369,7,362
588000000,362,7,355
589000000,371,7,364
590000000,359,2,357
591000000,372,0,372
592000000,369,0,369
593000000,373,1,372
594000000,369,2,367
595000000,362,0,362
596000000,373,5,368
597000000,361,0,361
598000000,371,0,371
599000000,362,2,360
600000000,374,0,374
601000000,368,2,366
602000000,367,0,367
603000000,368,1,367
604000000,380,0,380
605000000,373,0,373
606000000,369,6,363
607000000,365,2,363
608000000,362,0,362
609000000,373,0,373
610000000,370,0,370
611000000,363,1,362
612000000,362,0,362
613000000,367,0,367
614000000,371,10,361
615000000,363,11,352
616000000,360,24,336
617000000,365,28,337
618000000,360,11,349
619000000,364,5,359
620000000,374,0,374
621000000,366,3,363
622000000,369,1,368
623000000,378,0,378
624000000,366,5,361
625000000,373,4,369
626000000,362,2,360
627000000,368,0,368
628000000,370,0,370
629000000,373,4,369
630000000,369,1,368
631000000,369,1,368
632000000,363,1,362
633000000,368,9,359
634000000,377,9,368
635000000,359,0,359
636000000,360,0,360
637000000,373,1,372
638000000,359,3,356
639000000,378,0,378
640000000,368,0,368
641000000,364,3,361
642000000,369,12,357
643000000,372,11,361
644000000,372,4,368
645000000,359,5,354
646000000,378,2,376
647000000,370,10,360
648000000,376,10,366
649000000,371,4,367
650000000,380,6,374
651000000,359,3,356
652000000,360,15,345
653000000,369,18,351
654000000,366,5,361
655000000,373,3,370
656000000,370,2,368
657000000,374,0,374
658000000,375,0,375
659000000,385,5,380
660000000,372,0,372
661000000,366,0,366
662000000,369,0,369
663000000,355,4,351
664000000,370,4,366
665000000,369,9,360
666000000,368,3,365
667000000,358,0,358
668000000,363,9,354
669000000,366,10,356
670000000,376,16,360
671000000,360,20,340
672000000,354,0,354
673000000,366,2,364
674000000,367,3,364
675000000,365,2,363
676000000,372,3,369
677000000,361,11,350
678000000,373,22,351
679000000,377,3,374
680000000,375,0,375
681000000,355,4,351
682000000,377,4,373
683000000,367,33,334
684000000,366,17,349
685000000,367,20,347
686000000,371,20,351
687000000,358,10,348
688000000,369,7,362
689000000,365,8,357
690000000,367,19,348
691000000,365,13,352
692000000,369,15,354
693000000,364,9,355
694000000,369,4,365
695000000,372,0,372
696000000,369,5,364
697000000,361,16,345
698000000,368,8,360
699000000,366,4,362
700000000,355,8,347
701000000,360,23,337
702000000,366,17,349
703000000,374,13,361
704000000,370,12,358
705000000,364,0,364
706000000,370,4,366
707000000,361,2,359
708000000,369,0,369
709000000,369,4,365
710000000,377,3,374
711000000,364,4,360
712000000,381,0,381
713000000,370,0,370
714000000,364,3,361
715000000,376,7,369
716000000,359,2,357
717000000,362,0,362
718000000,372,7,365
719000000,375,15,360
720000000,364,0,364
721000000,370,9,361
722000000,363,24,339
723000000,362,6,356
724000000,363,0,363
725000000,369,9,360
726000000,371,8,363
727000000,369,0,369
728000000,372,1,371
729000000,376,3,373
730000000,372,0,372
731000000,367,4,363
732000000,383,2,381
733000000,376,0,376
734000000,368,1,367
735000000,371,4,367
736000000,368,14,354
737000000,373,4,369
738000000,362,6,356
739000000,366,7,359
740000000,377,3,374
741000000,371,0,371
742000000,365,6,359
743000000,377,8,369
744000000,360,1,359
745000000,368,0,368
746000000,382,0,382
747000000,381,2,379
748000000,364,0,364
749000000,370,2,368
750000000,358,0,358
751000000,372,0,372
752000000,363,0,363
753000000,369,1,368
