# Steps: 40000
# Save frequency: 100
# M: 64
# L: 8
# beta: 1
# mu: 0.84
step,total_rods,horizontal_rods,vertical_rods
34900,345,200,145
35000,347,201,146
35100,348,202,146
35200,348,202,146
35300,345,199,146
35400,345,198,147
35500,344,196,148
35600,345,197,148
35700,345,197,148
35800,345,197,148
35900,347,198,149
36000,348,199,149
36100,350,200,150
36200,350,201,149
36300,349,200,149
36400,349,200,149
36500,349,201,148
36600,349,202,147
36700,348,202,146
36800,349,202,147
36900,348,201,147
37000,348,202,146
37100,348,202,146
37200,348,203,145
37300,350,205,145
37400,350,204,146
37500,348,203,145
37600,348,204,144
37700,347,204,143
37800,346,203,143
37900,346,203,143
38000,345,204,141
38100,345,204,141
38200,343,203,140
38300,341,201,140
38400,340,200,140
38500,338,199,139
38600,340,201,139
38700,340,201,139
38800,339,200,139
38900,339,200,139
39000,339,200,139
39100,338,200,138
39200,338,200,138
39300,339,201,138
39400,339,200,139
39500,339,200,139
39600,340,200,140
39700,339,198,141
39800,338,197,141
39900,335,196,139
