# Steps: 40000
# Save frequency: 100
# M: 64
# L: 8
# beta: 1
# mu: 0.84
step,total_rods,horizontal_rods,vertical_rods
0,0,0,0
100,44,22,22
200,71,41,30
300,89,51,38
400,112,64,48
500,131,78,53
600,146,85,61
700,157,90,67
800,166,95,71
900,174,99,75
1000,180,103,77
1100,188,106,82
1200,192,110,82
1300,193,109,84
1400,204,113,91
1500,207,116,91
1600,212,119,93
1700,217,123,94
1800,222,125,97
1900,227,128,99
2000,231,131,100
2100,233,131,102
2200,239,133,106
2300,241,136,105
2400,246,137,109
2500,249,139,110
2600,253,140,113
2700,258,144,114
2800,258,143,115
2900,262,145,117
3000,266,146,120
3100,271,150,121
3200,274,150,124
3300,279,154,125
3400,283,155,128
3500,285,155,130
3600,287,157,130
3700,289,159,130
3800,290,160,130
3900,292,160,132
4000,292,160,132
4100,293,161,132
4200,296,161,135
4300,298,161,137
4400,299,161,138
4500,300,162,138
4600,301,163,138
4700,300,163,137
4800,300,163,137
4900,300,163,137
5000,300,164,136
5100,300,164,136
5200,300,164,136
5300,300,164,136
5400,300,164,136
5500,300,164,136
5600,301,164,137
5700,302,164,138
5800,303,164,139
5900,304,164,140
6000,305,164,141
6100,305,164,141
6200,306,165,141
6300,307,166,141
6400,308,165,143
6500,307,165,142
6600,308,165,143
6700,307,165,142
6800,308,165,143
6900,310,166,144
7000,309,165,144
7100,310,166,144
7200,307,165,142
7300,310,166,144
7400,311,166,145
7500,312,167,145
7600,315,171,144
7700,315,171,144
7800,314,170,144
7900,314,170,144
8000,315,171,144
8100,317,172,145
8200,319,173,146
8300,321,173,148
8400,324,175,149
8500,324,176,148
8600,323,176,147
8700,321,176,145
8800,319,175,144
8900,320,176,144
9000,319,175,144
9100,318,174,144
9200,319,175,144
9300,317,173,144
9400,318,173,145
9500,319,175,144
9600,321,175,146
9700,322,175,147
9800,323,176,147
9900,323,175,148
10000,324,177,147
10100,326,178,148
10200,328,180,148
10300,328,181,147
10400,327,181,146
10500,325,179,146
10600,326,180,146
10700,327,180,147
10800,327,180,147
10900,327,180,147
11000,329,181,148
11100,332,182,150
11200,332,182,150
11300,333,183,150
11400,335,185,150
11500,333,183,150
11600,334,183,151
11700,334,183,151
11800,333,183,150
11900,335,184,151
12000,336,184,152
12100,335,183,152
12200,334,181,153
12300,335,182,153
12400,334,181,153
12500,334,181,153
12600,335,181,154
12700,335,181,154
12800,335,181,154
12900,339,182,157
13000,339,182,157
13100,340,183,157
13200,338,182,156
13300,337,182,155
13400,338,181,157
13500,339,181,158
13600,338,181,157
13700,339,182,157
13800,341,183,158
13900,340,182,158
14000,340,182,158
14100,339,181,158
14200,338,181,157
14300,338,181,157
14400,335,179,156
14500,340,181,159
14600,342,183,159
14700,343,184,159
14800,345,185,160
14900,346,186,160
15000,343,184,159
15100,343,184,159
15200,342,184,158
15300,342,184,158
15400,343,185,158
15500,343,186,157
15600,343,186,157
15700,342,185,157
15800,342,185,157
15900,344,187,157
16000,341,183,158
16100,342,183,159
16200,343,184,159
16300,342,183,159
16400,341,182,159
16500,339,182,157
16600,342,184,158
16700,343,184,159
16800,343,184,159
16900,343,184,159
17000,343,184,159
17100,344,184,160
17200,343,185,158
17300,343,184,159
17400,342,184,158
17500,340,183,157
17600,340,183,157
17700,341,184,157
17800,342,185,157
17900,343,185,158
18000,344,185,159
18100,344,186,158
18200,343,186,157
18300,343,186,157
18400,343,187,156
18500,343,187,156
18600,342,188,154
18700,343,188,155
18800,341,188,153
18900,343,189,154
19000,343,189,154
19100,342,188,154
19200,342,188,154
19300,343,188,155
19400,342,187,155
